dateRep,cases,deaths,countriesAndTerritories
06/04/2020,29,2,Afghanistan
05/04/2020,35,1,Afghanistan
04/04/2020,0,0,Afghanistan
03/04/2020,43,0,Afghanistan
02/04/2020,26,0,Afghanistan
01/04/2020,25,0,Afghanistan
31/03/2020,27,0,Afghanistan
30/03/2020,8,1,Afghanistan
29/03/2020,15,1,Afghanistan
28/03/2020,16,1,Afghanistan
27/03/2020,0,0,Afghanistan
26/03/2020,33,0,Afghanistan
25/03/2020,2,0,Afghanistan
24/03/2020,6,1,Afghanistan
23/03/2020,10,0,Afghanistan
22/03/2020,0,0,Afghanistan
21/03/2020,2,0,Afghanistan
20/03/2020,0,0,Afghanistan
19/03/2020,0,0,Afghanistan
18/03/2020,1,0,Afghanistan
17/03/2020,5,0,Afghanistan
16/03/2020,6,0,Afghanistan
15/03/2020,3,0,Afghanistan
11/03/2020,3,0,Afghanistan
08/03/2020,3,0,Afghanistan
02/03/2020,0,0,Afghanistan
01/03/2020,0,0,Afghanistan
29/02/2020,0,0,Afghanistan
28/02/2020,0,0,Afghanistan
27/02/2020,0,0,Afghanistan
26/02/2020,0,0,Afghanistan
25/02/2020,1,0,Afghanistan
24/02/2020,0,0,Afghanistan
23/02/2020,0,0,Afghanistan
22/02/2020,0,0,Afghanistan
21/02/2020,0,0,Afghanistan
20/02/2020,0,0,Afghanistan
19/02/2020,0,0,Afghanistan
18/02/2020,0,0,Afghanistan
17/02/2020,0,0,Afghanistan
16/02/2020,0,0,Afghanistan
15/02/2020,0,0,Afghanistan
14/02/2020,0,0,Afghanistan
13/02/2020,0,0,Afghanistan
12/02/2020,0,0,Afghanistan
11/02/2020,0,0,Afghanistan
10/02/2020,0,0,Afghanistan
09/02/2020,0,0,Afghanistan
08/02/2020,0,0,Afghanistan
07/02/2020,0,0,Afghanistan
06/02/2020,0,0,Afghanistan
05/02/2020,0,0,Afghanistan
04/02/2020,0,0,Afghanistan
03/02/2020,0,0,Afghanistan
02/02/2020,0,0,Afghanistan
01/02/2020,0,0,Afghanistan
31/01/2020,0,0,Afghanistan
30/01/2020,0,0,Afghanistan
29/01/2020,0,0,Afghanistan
28/01/2020,0,0,Afghanistan
27/01/2020,0,0,Afghanistan
26/01/2020,0,0,Afghanistan
25/01/2020,0,0,Afghanistan
24/01/2020,0,0,Afghanistan
