state,positive,death,totaltestresults
AK,119,3,3713
AL,947,6,6641
AR,508,7,6028
AZ,1157,20,16759
CA,7398,146,28886
CO,2627,51,15364
CT,2571,36,14600
DC,495,9,3757
DE,264,7,2480
FL,5704,71,55500
GA,3032,102,13457
HI,193,0,8018
IA,424,6,6586
ID,415,7,5982
IL,5057,73,30446
IN,1786,35,11658
KS,368,8,4922
KY,480,11,6810
LA,4025,185,34033
MA,5752,56,42793
MD,1413,15,14729
ME,275,3,3669
MI,6498,184,18391
MN,576,10,18822
MO,1031,13,15645
MS,847,16,3836
MT,177,4,4411
NC,1307,6,20864
ND,109,3,3909
NE,153,2,2877
NH,314,3,5727
NJ,16636,198,41860
NM,281,4,12527
NV,1008,15,11215
NY,66497,1218,186468
OH,1933,39,27275
OK,481,17,1688
OR,606,16,12883
PA,4087,48,37864
RI,408,4,3595
SC,925,18,5085
SD,101,1,3579
TN,1834,13,23304
TX,2877,34,35880
UT,806,4,16003
VA,1020,25,12038
VT,256,12,3930
WA,4896,195,65462
WI,1221,14,17077
WV,145,1,3827
WY,95,0,1935
PR,174,6,1105
AS,0,0,0
GU,58,1,410
MP,2,0,2
VI,30,0,156
