user_id,age,annual_income,purchase_amount,loyalty_score,region,purchase_frequency
1,25,45000,200,4.5,North,12
2,34,55000,350,7.0,South,18
3,45,65000,500,8.0,West,22
4,22,30000,150,3.0,East,10
5,29,47000,220,4.8,North,13
6,41,61000,480,7.8,South,21
7,36,54000,400,6.5,West,19
8,27,43000,230,4.2,East,14
9,50,70000,600,9.0,North,25
10,31,50000,320,5.5,South,17
11,28,46000,250,4.4,West,15
12,42,62000,520,8.2,North,23
13,33,53000,380,6.0,South,18
14,37,58000,420,6.8,East,20
15,49,69000,590,8.9,West,24
16,23,31000,160,3.2,North,11
17,39,57000,440,7.0,South,21
18,30,49000,300,5.0,West,16
19,46,66000,510,8.1,North,22
20,26,44000,240,4.3,East,14
21,52,72000,610,9.2,South,26
22,24,32000,170,3.3,West,12
23,44,63000,460,7.5,North,21
24,35,56000,390,6.2,South,19
25,38,59000,430,6.9,East,20
26,47,67000,530,8.3,West,23
27,32,52000,360,5.8,North,18
28,29,48000,280,4.6,South,15
29,51,71000,600,9.0,West,25
30,40,60000,450,7.2,East,22
31,34,55000,350,6.5,North,19
32,43,64000,470,7.8,South,21
33,31,50000,320,5.5,West,16
34,27,43000,230,4.0,North,14
35,55,75000,640,9.5,South,28
36,25,45000,200,4.5,West,12
37,48,68000,550,8.5,North,24
38,30,49000,300,5.0,South,17
39,53,73000,620,9.3,West,27
40,28,46000,250,4.2,North,14
41,39,57000,440,7.0,South,21
42,37,58000,420,6.8,West,20
43,46,66000,510,8.1,North,22
44,33,53000,380,6.0,South,18
45,52,72000,610,9.2,West,26
46,29,47000,220,4.4,North,13
47,41,61000,480,7.8,South,21
48,50,70000,600,9.0,West,25
49,36,54000,400,6.5,North,19
50,24,32000,170,3.3,South,11
51,49,69000,590,8.9,West,24
52,26,44000,240,4.3,North,14
53,45,65000,500,8.0,South,22
54,40,60000,450,7.2,West,20
55,38,59000,430,6.9,North,20
56,54,74000,630,9.4,South,27
57,32,52000,360,5.8,West,18
58,31,51000,340,5.6,North,17
59,42,62000,520,8.2,South,23
60,55,75000,640,9.5,West,28
61,29,46000,270,4.3,North,15
62,33,53000,380,6.0,South,18
63,51,71000,600,9.0,West,25
64,27,43000,230,4.0,North,14
65,43,63000,470,7.8,South,21
66,41,61000,480,7.7,West,22
67,50,70000,600,9.0,North,25
68,24,32000,170,3.3,South,11
69,48,68000,550,8.5,West,24
70,30,49000,300,5.0,North,16
71,39,57000,440,7.0,South,21
72,37,58000,420,6.8,West,20
73,46,66000,510,8.1,North,22
74,33,53000,380,6.0,South,18
75,52,72000,610,9.2,West,26
76,28,46000,250,4.2,North,14
77,41,61000,480,7.8,South,21
78,50,70000,600,9.0,West,25
79,36,54000,400,6.5,North,19
80,24,32000,170,3.3,South,11
81,49,69000,590,8.9,West,24
82,26,44000,240,4.3,North,14
83,45,65000,500,8.0,South,22
84,40,60000,450,7.2,West,20
85,38,59000,430,6.9,North,20
86,54,74000,630,9.4,South,27
87,32,52000,360,5.8,West,18
88,31,51000,340,5.6,North,17
89,42,62000,520,8.2,South,23
90,55,75000,640,9.5,West,28
91,29,46000,270,4.3,North,15
92,33,53000,380,6.0,South,18
93,51,71000,600,9.0,West,25
94,27,43000,230,4.0,North,14
95,43,63000,470,7.8,South,21
96,41,61000,480,7.7,West,22
97,50,70000,600,9.0,North,25
98,24,32000,170,3.3,South,11
99,48,68000,550,8.5,West,24
100,30,49000,300,5.0,North,16
101,39,57000,440,7.0,South,21
102,37,58000,420,6.8,West,20
103,46,66000,510,8.1,North,22
104,33,53000,380,6.0,South,18
105,52,72000,610,9.2,West,26
106,28,46000,250,4.2,North,14
107,41,61000,480,7.8,South,21
108,50,70000,600,9.0,West,25
109,36,54000,400,6.5,North,19
110,24,32000,170,3.3,South,11
111,49,69000,590,8.9,West,24
112,26,44000,240,4.3,North,14
113,45,65000,500,8.0,South,22
114,40,60000,450,7.2,West,20
115,38,59000,430,6.9,North,20
116,54,74000,630,9.4,South,27
117,32,52000,360,5.8,West,18
118,31,51000,340,5.6,North,17
119,42,62000,520,8.2,South,23
120,55,75000,640,9.5,West,28
121,29,46000,270,4.3,North,15
122,33,53000,380,6.0,South,18
123,51,71000,600,9.0,West,25
124,27,43000,230,4.0,North,14
125,43,63000,470,7.8,South,21
126,41,61000,480,7.7,West,22
127,50,70000,600,9.0,North,25
128,24,32000,170,3.3,South,11
129,48,68000,550,8.5,West,24
130,30,49000,300,5.0,North,16
131,39,57000,440,7.0,South,21
132,37,58000,420,6.8,West,20
133,46,66000,510,8.1,North,22
134,33,53000,380,6.0,South,18
135,52,72000,610,9.2,West,26
136,28,46000,250,4.2,North,14
137,41,61000,480,7.8,South,21
138,50,70000,600,9.0,West,25
139,36,54000,400,6.5,North,19
140,24,32000,170,3.3,South,11
141,49,69000,590,8.9,West,24
142,26,44000,240,4.3,North,14
143,45,65000,500,8.0,South,22
144,40,60000,450,7.2,West,20
145,38,59000,430,6.9,North,20
146,54,74000,630,9.4,South,27
147,32,52000,360,5.8,West,18
148,31,51000,340,5.6,North,17
149,42,62000,520,8.2,South,23
150,55,75000,640,9.5,West,28
151,29,46000,270,4.3,North,15
152,33,53000,380,6.0,South,18
153,51,71000,600,9.0,West,25
154,27,43000,230,4.0,North,14
155,43,63000,470,7.8,South,21
156,41,61000,480,7.7,West,22
157,50,70000,600,9.0,North,25
158,24,32000,170,3.3,South,11
159,48,68000,550,8.5,West,24
160,30,49000,300,5.0,North,16
161,39,57000,440,7.0,South,21
162,37,58000,420,6.8,West,20
163,46,66000,510,8.1,North,22
164,33,53000,380,6.0,South,18
165,52,72000,610,9.2,West,26
166,28,46000,250,4.2,North,14
167,41,61000,480,7.8,South,21
168,50,70000,600,9.0,West,25
169,36,54000,400,6.5,North,19
170,24,32000,170,3.3,South,11
171,49,69000,590,8.9,West,24
172,26,44000,240,4.3,North,14
173,45,65000,500,8.0,South,22
174,40,60000,450,7.2,West,20
175,38,59000,430,6.9,North,20
176,54,74000,630,9.4,South,27
177,32,52000,360,5.8,West,18
178,31,51000,340,5.6,North,17
179,42,62000,520,8.2,South,23
180,55,75000,640,9.5,West,28
181,29,46000,270,4.3,North,15
182,33,53000,380,6.0,South,18
183,51,71000,600,9.0,West,25
184,27,43000,230,4.0,North,14
185,43,63000,470,7.8,South,21
186,41,61000,480,7.7,West,22
187,50,70000,600,9.0,North,25
188,24,32000,170,3.3,South,11
189,48,68000,550,8.5,West,24
190,30,49000,300,5.0,North,16
191,39,57000,440,7.0,South,21
192,37,58000,420,6.8,West,20
193,46,66000,510,8.1,North,22
194,33,53000,380,6.0,South,18
195,52,72000,610,9.2,West,26
196,28,46000,250,4.2,North,14
197,41,61000,480,7.8,South,21
198,50,70000,600,9.0,West,25
199,36,54000,400,6.5,North,19
200,24,32000,170,3.3,South,11
201,49,69000,590,8.9,West,24
202,26,44000,240,4.3,North,14
203,45,65000,500,8.0,South,22
204,40,60000,450,7.2,West,20
205,38,59000,430,6.9,North,20
206,54,74000,630,9.4,South,27
207,32,52000,360,5.8,West,18
208,31,51000,340,5.6,North,17
209,42,62000,520,8.2,South,23
210,55,75000,640,9.5,West,28
211,29,46000,270,4.3,North,15
212,33,53000,380,6.0,South,18
213,51,71000,600,9.0,West,25
214,27,43000,230,4.0,North,14
215,43,63000,470,7.8,South,21
216,41,61000,480,7.7,West,22
217,50,70000,600,9.0,North,25
218,24,32000,170,3.3,South,11
219,48,68000,550,8.5,West,24
220,30,49000,300,5.0,North,16
221,39,57000,440,7.0,South,21
222,37,58000,420,6.8,West,20
223,46,66000,510,8.1,North,22
224,33,53000,380,6.0,South,18
225,52,72000,610,9.2,West,26
226,28,46000,250,4.2,North,14
227,41,61000,480,7.8,South,21
228,50,70000,600,9.0,West,25
229,36,54000,400,6.5,North,19
230,24,32000,170,3.3,South,11
231,49,69000,590,8.9,West,24
232,26,44000,240,4.3,North,14
233,45,65000,500,8.0,South,22
234,40,60000,450,7.2,West,20
235,38,59000,430,6.9,North,20
236,54,74000,630,9.4,South,27
237,32,52000,360,5.8,West,18
238,31,51000,340,5.6,North,17
