years,private,cooperative,for_sale_rent,others
1991,39958,83554,0,13278
1992,36863,84260,0,11846
1993,33463,50002,485,10499
1994,35516,31741,1404,7419
1995,31675,26800,2767,5830
1996,30135,24641,2691,4663
1997,35074,28131,5099,5402
1998,37322,28039,8963,6270
1999,33304,27490,14195,6990
2000,35542,24391,20728,7128
2001,40642,25835,29403,10087
2002,52433,15406,21970,7786
2003,118034,11957,23844,8851
2004,64858,9432,24230,9597
2005,63279,8222,33047,9518
2006,57594,9032,37960,10767
2007,71643,8240,45653,8162
2008,83338,8647,66703,6501
2009,71971,7260,72326,8445
2010,70441,5052,53505,6837
2011,73553,3786,48814,4801
2012,81050,4194,63586,4074
2013,81228,3493,56447,3968
2014,76129,3490,59065,4482
2015,79758,2115,62420,3418
2016,78062,2707,79160,3396
2017,82679,2376,89817,3386
2018,66220,3024,112317,3501
2019,69288,2168,131428,4595
