id,subregion,male_0,male_15,male_30,male_45,male_60,female_0,female_15,female_30,female_45,female_60,
01,jeleniogórski,72.1,57.6,43.3,29.6,17.9,81.1,66.4,51.6,37.0,23.6,
02,legnicko-g³ogowski,73.3,58.9,44.5,30.7,18.7,80.6,66.0,51.3,36.9,23.7,
03,wa³brzyski,72.3,57.7,43.4,29.8,18.2,80.6,66.1,51.3,36.9,23.7,
04,wroc³awski,73.2,58.9,44.5,30.7,19.0,81.4,67.0,52.3,37.7,24.1,
05,m. Wroc³aw,75.4,60.8,46.3,32.4,20.4,82.5,67.9,53.1,38.6,25.0,
06,bydgosko-toruñski,74.9,60.3,45.9,31.8,19.4,81.8,67.4,52.6,38.0,24.4,
07,grudzi¹dzki,72.6,58.1,43.9,30.3,18.4,80.3,65.7,51.0,36.5,23.2,
08,w³oc³awski,71.8,57.3,43.2,29.7,18.0,80.7,66.1,51.4,36.8,23.5,
09,bialski,72.3,57.8,43.5,29.8,18.1,82.0,67.4,52.6,37.9,24.1,
10,che³msko-zamojski,73.3,58.9,44.6,30.9,18.9,82.4,67.7,52.9,38.4,24.7,
11,lubelski,74.1,59.5,45.1,31.4,19.4,82.3,67.8,53.1,38.5,24.9,
12,pu³awski,73.5,58.8,44.4,30.7,18.9,82.4,68.0,53.2,38.5,24.7,
13,gorzowski,72.7,58.2,43.9,30.3,18.6,80.6,66.0,51.3,36.7,23.3,
14,zielonogórski,73.1,58.6,44.2,30.4,18.5,81.0,66.5,51.7,37.2,23.8,
15,³ódzki,72.2,57.8,43.4,29.9,18.5,80.7,66.0,51.3,36.8,23.5,
16,m. £ódŸ,72.0,57.5,43.2,30.0,18.7,80.2,65.7,51.0,36.6,23.6,
17,piotrkowski,71.5,57.0,42.8,29.6,18.1,81.1,66.4,51.7,37.2,23.8,
18,sieradzki,72.6,58.1,43.8,30.2,18.6,81.4,66.7,52.0,37.4,23.9,
19,skierniewicki,71.7,57.4,43.1,29.5,18.0,80.3,65.9,51.2,36.8,23.5,
20,krakowski,74.8,60.3,45.8,31.8,19.4,82.7,67.9,53.0,38.4,24.6,
21,m. Kraków,76.7,62.1,47.5,33.3,20.8,83.2,68.4,53.6,39.0,25.2,
22,nowos¹decki,75.8,61.1,46.5,32.4,20.0,83.0,68.3,53.5,38.9,25.0,
23,oœwiêcimski,73.9,59.3,44.9,31.0,19.0,82.1,67.5,52.6,38.0,24.4,
24,tarnowski,75.8,61.1,46.6,32.5,20.1,83.4,68.9,54.0,39.4,25.4,
25,ciechanowski,71.5,56.9,42.7,29.4,17.9,81.0,66.5,51.7,37.2,23.6,
26,ostro³êcki,72.9,58.3,44.0,30.3,18.6,82.3,67.6,52.8,38.3,24.5,
27,radomski,72.2,57.6,43.4,29.9,18.3,81.8,67.2,52.4,37.8,24.2,
