city,population
Adana,2183167
Adıyaman,602774
Afyonkarahisar,709015
Ağrı,547210
Amasya,322167
Ankara,5270575
Antalya,2288456
Artvin,168370
Aydın,1053506
Balıkesir,1186688
Bilecik,212361
Bingöl,267184
Bitlis,340449
Bolu,291095
Burdur,258339
Bursa,2842547
Çanakkale,513341
Çankırı,180945
Çorum,525180
Denizli,993442
Diyarbakır,1654196
Edirne,402537
Elazığ,574304
Erzincan,222918
Erzurum,762321
Eskişehir,826716
Gaziantep,1931836
Giresun,426686
Gümüşhane,151449
Hakkari,278775
Hatay,1533507
Isparta,421766
Mersin,1745221
İstanbul,14657434
İzmir,4168415
Kars,292660
Kastamonu,372633
Kayseri,1341056
Kırklareli,346973
Kırşehir,225562
Kocaeli,1780055
Konya,2130544
Kütahya,571463
Malatya,772904
Manisa,1380366
Kahramanmaraş,1096610
Mardin,796591
Muğla,908877
Muş,408728
Nevşehir,286767
Niğde,346114
Ordu,728949
Rize,328979
Sakarya,953181
Samsun,1279884
Siirt,320351
Sinop,204133
Sivas,618617
Tekirdağ,937910
Tokat,593990
Trabzon,768417
Tunceli,86076
Şanlıurfa,1892320
Uşak,353048
Van,1096397
Yozgat,419440
Zonguldak,595907
Aksaray,386514
Bayburt,78550
Karaman,242196
Kırıkkale,270271
Batman,566633
Şırnak,490184
Bartın,190708
Ardahan,99265
Iğdır,192435
Yalova,233009
Karabük,236978
Kilis,130655
Osmaniye,512873
Düzce,360388
