date,state,deathincrease,positiveincrease,totaltestresultsincrease
30/03/2020,AK,1,12,320
30/03/2020,AL,2,53,1563
30/03/2020,AR,1,47,2282
30/03/2020,AS,0,0,0
30/03/2020,AZ,3,238,2887
30/03/2020,CA,10,739,739
30/03/2020,CO,7,566,2088
30/03/2020,CT,2,578,2700
30/03/2020,DC,4,59,272
30/03/2020,DE,0,32,2212
30/03/2020,FL,7,1227,10382
30/03/2020,GA,7,158,160
30/03/2020,GU,0,2,20
30/03/2020,HI,0,24,1000
30/03/2020,IA,2,88,1237
30/03/2020,ID,1,49,424
30/03/2020,IL,8,461,2684
30/03/2020,IN,3,272,1828
30/03/2020,KS,2,49,409
30/03/2020,KY,0,45,477
30/03/2020,LA,34,485,6162
30/03/2020,MA,8,797,3727
30/03/2020,MD,5,174,1136
30/03/2020,ME,0,22,22
30/03/2020,MI,52,1012,1012
30/03/2020,MN,1,73,1165
30/03/2020,MO,3,193,1850
30/03/2020,MP,0,0,0
30/03/2020,MS,2,89,518
30/03/2020,NC,2,267,1919
30/03/2020,ND,1,11,384
30/03/2020,NE,0,37,653
30/03/2020,NH,1,100,962
30/03/2020,NJ,37,3250,6258
30/03/2020,NM,0,0,173
30/03/2020,NV,1,270,2065
30/03/2020,NY,253,6984,14108
30/03/2020,OH,10,280,6610
30/03/2020,OK,1,52,54
30/03/2020,OR,3,58,1457
30/03/2020,PA,11,693,4409
30/03/2020,PR,1,47,137
30/03/2020,RI,1,114,760
30/03/2020,SC,2,151,1296
30/03/2020,SD,0,11,362
30/03/2020,TN,6,297,2730
30/03/2020,TX,0,325,10120
30/03/2020,UT,2,87,2010
30/03/2020,VA,3,130,1429
30/03/2020,VI,0,7,10
30/03/2020,VT,0,21,229
30/03/2020,WA,6,586,6256
30/03/2020,WV,1,13,292
30/03/2020,WY,0,8,294
29/03/2020,AK,0,17,413
29/03/2020,AL,1,110,110
29/03/2020,AR,1,22,111
29/03/2020,AS,0,0,0
29/03/2020,AZ,2,46,5544
29/03/2020,CA,22,1065,1065
29/03/2020,CO,13,327,1600
29/03/2020,CT,7,702,3500
29/03/2020,DC,1,38,296
29/03/2020,DE,3,18,18
29/03/2020,FL,2,483,4187
29/03/2020,GA,11,285,1513
29/03/2020,GU,0,1,36
29/03/2020,HI,0,31,2523
29/03/2020,IA,1,38,676
29/03/2020,ID,1,31,710
29/03/2020,IL,18,1105,2271
29/03/2020,IN,1,282,1423
29/03/2020,KS,1,58,581
29/03/2020,KY,1,92,418
29/03/2020,LA,14,225,2710
29/03/2020,MA,4,698,4017
29/03/2020,MD,5,247,1085
29/03/2020,ME,2,42,42
29/03/2020,MI,40,1829,4613
29/03/2020,MN,4,62,1528
29/03/2020,MO,0,0,1465
29/03/2020,MP,0,0,0
29/03/2020,MS,1,95,95
29/03/2020,MT,0,25,912
29/03/2020,NC,0,105,1418
29/03/2020,ND,0,15,561
29/03/2020,NE,0,12,76
29/03/2020,NH,0,27,895
29/03/2020,NJ,21,2262,5092
29/03/2020,NM,1,46,1619
29/03/2020,NV,4,117,628
29/03/2020,NY,237,7195,16426
29/03/2020,OH,4,247,247
29/03/2020,OK,1,52,77
29/03/2020,OR,0,69,1254
29/03/2020,PA,4,643,5450
29/03/2020,PR,2,27,129
29/03/2020,RI,3,91,326
29/03/2020,SC,3,235,842
29/03/2020,SD,0,22,557
29/03/2020,TN,1,164,2236
29/03/2020,TX,7,500,500
29/03/2020,UT,0,117,2681
29/03/2020,VA,5,151,1443
29/03/2020,VI,0,1,18
29/03/2020,VT,0,24,1327
29/03/2020,WA,14,587,6468
29/03/2020,WI,0,123,1441
29/03/2020,WV,0,17,391
29/03/2020,WY,0,4,83
28/03/2020,AK,1,16,533
28/03/2020,AL,0,109,109
28/03/2020,AR,2,23,1416
28/03/2020,AS,0,0,0
28/03/2020,AZ,2,137,137
28/03/2020,CA,23,764,3933
28/03/2020,CO,7,304,1554
28/03/2020,CT,0,0,0
28/03/2020,DC,1,37,351
28/03/2020,DE,1,51,51
28/03/2020,FL,20,998,8178
28/03/2020,GA,5,365,1186
28/03/2020,GU,0,4,4
28/03/2020,HI,0,14,14
28/03/2020,IA,0,63,698
28/03/2020,ID,1,41,715
28/03/2020,IL,13,465,3949
28/03/2020,IN,7,251,1471
28/03/2020,KS,1,59,501
28/03/2020,KY,2,54,1107
28/03/2020,LA,18,569,3802
28/03/2020,MA,9,1017,5678
28/03/2020,MD,0,218,11640
28/03/2020,ME,0,43,43
28/03/2020,MI,0,0,2559
28/03/2020,MN,1,43,2126
28/03/2020,MO,2,169,9882
28/03/2020,MP,0,2,2
28/03/2020,MS,5,84,84
28/03/2020,MT,1,21,687
28/03/2020,NC,1,172,2391
28/03/2020,ND,1,18,400
28/03/2020,NE,2,11,154
28/03/2020,NH,1,29,290
28/03/2020,NJ,32,2299,5138
28/03/2020,NM,0,55,874
28/03/2020,NV,0,86,1826
28/03/2020,NY,209,7683,10181
28/03/2020,OH,6,269,269
28/03/2020,OK,7,55,151
28/03/2020,OR,1,65,1248
28/03/2020,PA,12,533,4771
28/03/2020,PR,0,21,241
28/03/2020,RI,0,38,978
28/03/2020,SC,4,83,184
28/03/2020,SD,0,10,215
28/03/2020,TN,0,170,2247
28/03/2020,TX,4,321,1594
28/03/2020,UT,0,122,2068
28/03/2020,VA,3,135,1829
28/03/2020,VI,0,3,54
28/03/2020,VT,2,27,113
28/03/2020,WA,28,516,6358
28/03/2020,WI,0,147,2239
28/03/2020,WV,0,20,572
28/03/2020,WY,0,12,276
27/03/2020,AK,0,10,528
27/03/2020,AL,2,81,672
27/03/2020,AR,0,46,87
27/03/2020,AS,0,0,0
27/03/2020,AZ,5,159,7267
27/03/2020,CA,13,873,873
27/03/2020,CO,5,344,2058
27/03/2020,CT,6,279,1763
27/03/2020,DC,0,36,307
27/03/2020,DE,1,33,33
27/03/2020,FL,6,410,4855
27/03/2020,GA,16,476,939
27/03/2020,GU,0,6,42
27/03/2020,HI,0,11,11
27/03/2020,IA,2,56,1218
27/03/2020,ID,3,66,669
27/03/2020,IL,8,488,4911
27/03/2020,IN,7,336,2285
27/03/2020,KS,1,34,394
27/03/2020,KY,2,50,716
27/03/2020,LA,36,441,3330
27/03/2020,MA,10,823,5750
27/03/2020,MD,1,194,194
27/03/2020,ME,1,13,13
27/03/2020,MI,32,801,801
27/03/2020,MN,2,52,1053
27/03/2020,MO,0,167,167
27/03/2020,MP,0,0,0
27/03/2020,MS,2,94,363
27/03/2020,MT,0,37,499
27/03/2020,NC,1,127,2226
27/03/2020,ND,0,13,401
27/03/2020,NE,0,12,189
27/03/2020,NH,0,21,415
27/03/2020,NJ,27,1949,4835
27/03/2020,NM,0,24,720
27/03/2020,NV,0,115,1579
27/03/2020,NY,134,7377,23649
27/03/2020,OH,4,270,2833
27/03/2020,OK,1,74,200
27/03/2020,OR,1,87,1644
27/03/2020,PA,6,531,5106
27/03/2020,PR,1,15,157
27/03/2020,RI,0,0,27
27/03/2020,SC,0,0,0
27/03/2020,SD,0,12,426
27/03/2020,TN,3,246,1182
27/03/2020,TX,5,335,2242
27/03/2020,UT,1,78,1534
27/03/2020,VA,1,144,1148
27/03/2020,VI,0,2,2
27/03/2020,VT,1,26,253
27/03/2020,WA,15,627,12088
27/03/2020,WI,5,135,1692
27/03/2020,WV,0,25,773
27/03/2020,WY,0,17,176
26/03/2020,AK,0,17,169
26/03/2020,AL,1,223,1287
26/03/2020,AR,1,55,122
26/03/2020,AS,0,0,0
26/03/2020,AZ,2,127,151
26/03/2020,CA,12,651,2110
26/03/2020,CO,8,174,363
26/03/2020,CT,2,137,739
26/03/2020,DC,1,48,251
26/03/2020,DE,1,15,15
26/03/2020,FL,6,673,9040
26/03/2020,GA,8,278,2747
26/03/2020,GU,0,8,38
26/03/2020,HI,0,5,5
26/03/2020,IA,0,34,34
26/03/2020,ID,0,50,228
26/03/2020,IL,7,673,2422
26/03/2020,IN,3,168,1295
26/03/2020,KS,0,42,551
26/03/2020,KY,0,41,278
26/03/2020,LA,18,510,6578
26/03/2020,MA,10,579,3827
26/03/2020,MD,0,157,157
26/03/2020,ME,0,6,223
26/03/2020,MI,17,562,5043
26/03/2020,MN,1,59,1475
26/03/2020,MO,0,146,146
26/03/2020,MP,0,0,0
26/03/2020,MS,4,108,833
26/03/2020,MT,0,18,198
26/03/2020,NC,1,132,2421
26/03/2020,ND,0,13,318
